City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
108,Bosaso,11.2842,49.1816,85.68,67,4,4.94,SO,Clear
109,Lixourion,38.2019,20.4314,59.0,100,100,4.61,GR,Clouds
110,San Cristobal,7.7669,-72.225,80.78,87,69,3.89,VE,Clouds
111,Rocha,-34.4833,-54.3333,48.85,88,0,5.88,UY,Clear
112,Georgetown,5.4112,100.3354,80.55,94,20,3.44,MY,Thunderstorm
113,Gari,59.4307,62.3497,28.74,88,90,10.71,RU,Clouds
114,Constitucion,-35.3333,-72.4167,53.85,77,100,8.95,CL,Clouds
115,Ugoofaaru,5.6667,73.0,84.99,74,56,15.82,MV,Clouds
116,Bredasdorp,-34.5322,20.0403,55.49,94,43,4.14,ZA,Clouds
117,Camocim,-2.9022,-40.8411,77.77,89,82,9.75,BR,Clouds
118,Goedereede,51.8175,3.9806,52.97,71,41,1.01,NL,Clouds
119,Faya,18.3851,42.4509,62.71,53,15,2.46,SA,Clouds
120,Ouesso,1.6136,16.0517,71.53,87,78,2.68,CG,Rain
121,Mariel,22.9875,-82.7536,84.34,68,16,13.76,CU,Rain
122,Bocaiuva,-17.1078,-43.815,76.71,49,66,7.76,BR,Clouds
123,Edd,13.9297,41.6925,89.26,50,6,6.53,ER,Clear
124,Jurm,36.8648,70.8342,65.84,34,48,2.66,AF,Clouds
125,Chilca,-12.5211,-76.7372,65.41,89,95,5.19,PE,Clouds
126,Kushmurun,52.4503,64.6311,39.83,92,1,2.91,KZ,Clear
127,Neyshabur,36.2133,58.7958,61.72,66,99,2.91,IR,Rain
128,Halifax,44.6453,-63.5724,41.49,77,100,9.22,CA,Clouds
129,Ornskoldsvik,63.2909,18.7153,41.95,75,100,4.61,SE,Clouds
130,Salalah,17.0151,54.0924,86.09,79,20,3.44,OM,Clouds
131,Lebu,-37.6167,-73.65,52.61,90,16,14.76,CL,Clouds
132,Kuybyshevskiy Zaton,55.1593,49.1701,37.27,65,4,8.34,RU,Clear
133,Bayan,46.0833,127.4,44.69,63,36,5.97,CN,Clouds
134,Souillac,-20.5167,57.5167,73.78,88,40,1.14,MU,Clouds
135,Tallahassee,30.4383,-84.2807,75.67,94,75,3.44,US,Clouds
136,Hofn,64.2539,-15.2082,35.2,58,100,13.49,IS,Clouds
137,Torbay,47.6666,-52.7314,47.17,88,75,5.99,CA,Clouds
138,Gopalpur,19.2667,84.9167,81.12,85,90,12.91,IN,Clouds
139,Krasnoselkup,65.7,82.4667,17.37,90,71,9.53,RU,Clouds
140,Vila Franca Do Campo,37.7167,-25.4333,66.2,91,35,3.0,PT,Clouds
141,Praia,14.9215,-23.5087,72.14,73,20,19.57,CV,Clouds
142,Tromso,69.6496,18.957,32.38,93,100,5.75,NO,Snow
143,Mariental,-24.6333,17.9667,60.48,19,0,13.69,NA,Clear
144,Kologriv,58.8275,44.3178,31.96,95,92,4.88,RU,Clouds
145,Rio Grande,-32.035,-52.0986,60.91,78,0,9.8,BR,Clear
146,Izyaslav,50.1195,26.8213,44.28,78,27,7.05,UA,Clouds
147,Chuy,-33.6971,-53.4616,52.7,77,0,8.19,UY,Clear
148,Rincon,32.296,-81.2354,76.96,57,75,12.66,US,Clouds
149,Dhidhdhoo,6.8833,73.1,85.14,75,83,13.78,MV,Clouds
150,Thinadhoo,0.5333,72.9333,85.03,74,94,17.49,MV,Clouds
151,Moose Factory,51.2585,-80.6094,46.4,65,0,14.97,CA,Clear
152,Kedougou,12.5579,-12.1743,95.58,38,0,0.0,SN,Clear
153,Raudeberg,61.9875,5.1352,45.27,73,99,21.32,NO,Rain
154,Comodoro Rivadavia,-45.8667,-67.5,49.86,76,20,8.05,AR,Clouds
155,Cap Malheureux,-19.9842,57.6142,74.46,81,3,1.99,MU,Clear
156,Francisco Beltrao,-26.0811,-53.055,65.01,94,5,0.34,BR,Clear
157,Plattsburgh,44.6995,-73.4529,68.32,32,0,8.05,US,Clear
158,Zapolyarnyy,69.4154,30.8136,25.88,100,98,2.82,RU,Clouds
159,Tabas,33.5959,56.9244,71.38,52,28,11.21,IR,Rain
160,Mikhaylovka,50.06,43.2379,40.69,59,9,6.15,RU,Clear
161,Cotonou,6.3654,2.4183,82.38,78,40,12.66,BJ,Clouds
162,Goderich,43.7501,-81.7165,55.72,82,100,13.8,CA,Clouds
163,Labrea,-7.2586,-64.7981,76.68,90,100,1.59,BR,Rain
164,Buchanan,5.8808,-10.0467,80.55,85,100,7.54,LR,Rain
165,Sao Miguel Do Araguaia,-13.275,-50.1628,77.22,55,14,1.5,BR,Clouds
166,Mount Pleasant,32.7941,-79.8626,78.19,69,0,11.5,US,Clear
167,Alakurtti,66.9672,30.3491,26.13,96,91,2.75,RU,Snow
168,Coquimbo,-29.9533,-71.3436,58.73,82,0,6.91,CL,Clear
169,Sorland,67.667,12.6934,37.81,85,100,27.49,NO,Clouds
170,Guiratinga,-16.3494,-53.7583,74.62,46,15,4.18,BR,Clouds
171,Dobryatino,55.5055,41.3195,37.08,78,95,6.49,RU,Clouds
172,Takoradi,4.8845,-1.7554,80.26,84,86,6.38,GH,Clouds
173,Aracati,-4.5617,-37.7697,80.64,81,79,10.98,BR,Rain
174,Bubaque,11.2833,-15.8333,77.83,73,29,12.73,GW,Clouds
175,Grand-Lahou,5.1367,-5.0242,80.92,84,56,8.12,CI,Clouds
176,Alta Floresta,-9.8756,-56.0861,76.32,81,39,2.75,BR,Clouds
177,Hamilton,39.1834,-84.5333,75.83,32,0,21.85,US,Clear
178,Matamba,-8.9833,33.9667,52.32,95,41,6.13,TZ,Clouds
179,Balsas,-7.5325,-46.0356,78.06,63,9,2.93,BR,Clear
180,Sant Julia De Loria,42.4625,1.4825,52.16,89,99,2.48,AD,Clouds
181,Nantucket,41.2835,-70.0995,55.54,64,0,9.22,US,Clear
182,Marrakesh,31.6315,-8.0083,71.67,37,0,8.05,MA,Clear
183,Havelock,34.8791,-76.9013,74.98,77,57,10.0,US,Clouds
184,Viedma,-40.8135,-62.9967,50.52,72,100,8.5,AR,Clouds
185,Qeshm,26.9581,56.2719,80.49,75,0,8.63,IR,Clear
186,Teguldet,57.3064,88.1667,39.43,84,100,11.14,RU,Clouds
187,Arlit,18.7369,7.3853,85.44,11,1,10.09,NE,Clear
188,Itupiranga,-5.1347,-49.3267,75.06,92,29,2.04,BR,Clouds
189,Nadezhda,44.1,44.6,51.8,70,100,6.71,RU,Clouds
190,Taltal,-25.4,-70.4833,61.09,82,24,3.83,CL,Clouds
