City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Nuuk,GL,2022-05-01 01:22:02,64.1835,-51.7216,25.41,74,6,16.11
254,Loralai,PK,2022-05-01 01:22:03,30.3705,68.598,71.64,14,2,5.7
255,Buraydah,SA,2022-05-01 01:22:04,26.326,43.975,75.65,37,0,9.28
256,Chapais,CA,2022-05-01 01:20:47,49.7834,-74.8492,37.18,94,7,4.14
257,Lebu,CL,2022-05-01 01:22:04,-37.6167,-73.65,49.5,81,22,12.88
258,Telde,ES,2022-05-01 01:22:05,27.9924,-15.4192,64.62,68,20,23.02
259,Ueckermunde,DE,2022-05-01 01:22:05,53.7379,14.0447,50.56,83,100,5.26
260,Fenoarivo,MG,2022-05-01 01:22:06,-18.933,47.4354,59.07,94,20,4.61
261,Octeville,FR,2022-05-01 01:22:07,49.6261,-1.6435,46.89,87,0,4.61
262,Bytow,PL,2022-05-01 01:22:07,54.1706,17.4919,44.71,69,98,3.6
263,Varanasi,IN,2022-05-01 01:22:08,25.3333,83.0,78.89,73,40,11.5
264,Mastic Beach,US,2022-05-01 01:22:08,40.7668,-72.8521,53.78,61,0,13.0
265,Karasburg,,2022-05-01 01:22:09,-28.0167,18.75,54.0,25,0,8.16
266,Surt,LY,2022-05-01 01:22:09,31.2089,16.5887,65.3,75,42,20.54
267,Vila Franca Do Campo,PT,2022-05-01 01:22:10,37.7167,-25.4333,62.2,90,4,2.08
268,Tandil,AR,2022-05-01 01:22:10,-37.3217,-59.1332,40.68,70,7,6.2
269,Ust-Koksa,RU,2022-05-01 01:22:11,50.2696,85.6108,49.41,53,100,2.3
270,Mangan,IN,2022-05-01 01:18:55,27.5167,88.5333,70.61,77,86,0.69
271,Panaba,MX,2022-05-01 01:22:12,21.2833,-88.2667,77.13,76,19,8.79
272,Quarai,BR,2022-05-01 01:22:13,-30.3875,-56.4514,57.67,80,100,8.25
273,Shieli,KZ,2022-05-01 01:22:13,44.1667,66.75,70.45,28,93,7.31
274,Ambilobe,MG,2022-05-01 01:23:14,-13.2,49.05,70.93,95,2,3.04
275,Beinamar,TD,2022-05-01 01:23:15,8.6698,15.3813,79.92,62,100,4.21
276,Carnarvon,AU,2022-05-01 01:21:32,-24.8667,113.6333,77.07,44,0,11.5
277,Reconquista,AR,2022-05-01 01:23:16,-29.15,-59.65,56.7,76,100,6.6
278,Antofagasta,CL,2022-05-01 01:23:17,-23.65,-70.4,60.08,83,54,5.44
279,Los Llanos De Aridane,ES,2022-05-01 01:22:30,28.6585,-17.9182,62.35,87,0,16.11
280,Durban,ZA,2022-05-01 01:23:17,-29.8579,31.0292,64.02,82,0,3.0
281,Aksarka,RU,2022-05-01 01:23:18,66.5606,67.7975,16.38,87,23,10.69
282,Trindade,BR,2022-05-01 01:23:18,-16.6494,-49.4889,69.55,49,0,6.33
283,Chikwawa,MW,2022-05-01 01:23:19,-16.0335,34.8009,63.46,83,5,0.94
284,Angoche,MZ,2022-05-01 01:23:19,-16.2325,39.9086,71.31,90,15,8.57
285,San Luis,AR,2022-05-01 01:23:19,-33.295,-66.3356,51.37,58,0,6.51
286,Tsiroanomandidy,MG,2022-05-01 01:23:20,-18.7667,46.0333,62.33,97,1,2.46
287,Iralaya,HN,2022-05-01 01:23:21,15.0,-83.2333,79.05,76,98,9.53
288,Cockburn Town,TC,2022-05-01 01:20:28,21.4612,-71.1419,77.16,71,24,22.15
289,Usinsk,RU,2022-05-01 01:23:21,65.9939,57.5281,17.6,96,90,7.94
290,Cabedelo,BR,2022-05-01 01:23:22,-6.9811,-34.8339,77.67,76,96,12.62
291,Senneterre,CA,2022-05-01 01:23:22,48.3835,-77.2328,35.33,82,57,4.97
292,Manakara,MG,2022-05-01 01:23:23,-22.1333,48.0167,68.88,91,1,5.64
293,Saint-Francois,FR,2022-05-01 01:23:24,46.4154,3.9054,41.68,93,11,1.14
