City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
63,Jiblah,YE,65.95,Clouds,13.9216,44.1467,Tiger Tower Hotel
65,Camacha,PT,60.22,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
67,Sao Filipe,CV,72.41,Clear,14.8961,-24.4956,Hotel Xaguate
70,Carutapera,BR,76.3,Rain,-1.195,-46.02,Lidera
71,Quibdo,CO,84.54,Clouds,5.6947,-76.6611,Hotel Angeles
72,Parkent,UZ,66.02,Clouds,41.2944,69.6764,Mehmonxona
77,Malakal,SS,87.15,Clouds,9.5334,31.6605,Nile Palace Hotel
78,Dumka,IN,78.26,Clouds,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
79,Gra Liyia,GR,65.12,Clouds,35.0167,25.6833,Diktynna Traditional Villas
80,Arraial Do Cabo,BR,75.06,Clear,-22.9661,-42.0278,Pousada Porto Praia
82,Methoni,GR,64.22,Clouds,36.8197,21.7049,Methoni Beach Hotel
84,Meulaboh,ID,76.5,Clouds,4.1363,96.1285,Kost Pria
86,Hatta,IN,88.79,Clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
87,Riachao Das Neves,BR,74.46,Clouds,-11.7461,-44.91,Casa Costa
88,Sao Joao Da Barra,BR,76.69,Clear,-21.6403,-41.0511,Pousada Porto De Canoas
89,Barceloneta,PR,76.95,Clouds,18.4505,-66.5385,Manati World Point Inn
90,Jaisalmer,IN,85.15,Clouds,26.9147,70.9181,Hotel Fifu
91,Katsina,NG,88.38,Clouds,12.9894,7.6006,Katsina Motel
93,Najran,SA,77.65,Clear,17.4924,44.1277,محمد هادي ال فطيح
95,Ilhabela,BR,73.65,Clouds,-23.7781,-45.3581,Ilha Flat Hotel
96,Bathsheba,BB,81.21,Clouds,13.2167,-59.5167,Atlantis Hotel
97,Serik,TR,66.74,Rain,36.9169,31.0989,Armas Belek - Ultra All Inclusive
